sweep,value,case_id,CL,CD,CMy,CFx,F_AD_delivered_N,physical_step,pseudo_step
alpha,-2.0,case-611dc481-54e0-4f3b-85cf-31ad4c2ce3ff,5.65750716607188,1.42809144005272,-1.97012355429947,1.42809144005272,8295.349159564214,45,499
alpha,2.0,case-e2740270-228b-45ee-b883-0f866f70094e,6.65012340008412,1.96160324229118,-2.22932390317978,1.96160324229118,8295.349159564214,45,499
alpha,5.0,case-af473707-bf7b-4250-aae9-b2dbd5effa17,7.27284943151667,2.38862486945611,-2.35760004604573,2.38862486945611,8295.349159564214,45,499
alpha,8.0,case-f50417a9-fab5-4698-9501-defaf3dc046d,7.8223869545293,2.84268023963332,-2.45091963151128,2.84268023963332,8295.349159564214,45,499
alpha,11.0,case-56a02a76-dfb5-4e2b-8589-c5d2d80c2727,8.30778501928078,3.31922259864041,-2.51478043150275,3.31922259864041,8295.349159564214,45,499
alpha,14.0,case-86973474-2842-4d42-85d9-136eb9c9e97f,8.70087283668213,3.79752361790639,-2.54511903560548,3.79752361790639,8295.349159564214,45,499
alpha,17.0,case-a44322f9-7ed1-48c6-9112-47f9265f9760,8.95024223096685,4.24121935595279,-2.52024331550314,4.24121935595279,8295.349159564214,45,0
alpha,20.0,case-06ff58fc-fded-4f82-bf55-ad4da382e153,9.02469447486342,4.60444791538411,-2.43206541759277,4.60444791538411,8295.349159564214,45,0
alpha,25.0,case-07d360f5-185f-4b06-9d98-bcda5776a4de,8.94107080365727,5.11946381648506,-2.31303773549842,5.11946381648506,8295.349159564214,45,4
alpha,30.0,case-5e7b3963-f0a5-4875-824c-1cd04dae4e9b,8.48035143578242,5.40489475702822,-2.43558851242636,5.40489475702822,8295.349159564214,45,499
htail,-12.0,case-db98b4d4-8baa-4c2d-b65a-c9d5cc9ba325,7.83187955563025,2.87711163393935,-2.5365485588108,2.87711163393935,8295.349159564214,45,499
htail,-9.0,case-1c8aa00a-bdc9-4f98-b68f-fb42911600cc,7.82010079585539,2.86176904089051,-2.4719826175405,2.86176904089051,8295.349159564214,45,499
htail,-6.0,case-8cf4a3ff-3c94-490c-a40e-3b98d8915fd9,7.81870860195171,2.8463660339257,-2.44539469105184,2.8463660339257,8295.349159564214,45,499
htail,-4.0,case-e390dc48-51fc-4965-ba38-896b33784421,7.82751791112537,2.83950536018396,-2.46242364524678,2.83950536018396,8295.349159564214,45,499
htail,-2.0,case-af6eac32-1756-4c73-a424-d7793104d406,7.84376099692692,2.83743415352917,-2.50549057967903,2.83743415352918,8295.349159564214,45,499
htail,0.0,case-3da44e22-9b52-47af-8d1e-4b7159493ac3,7.86393361803475,2.83842808034078,-2.56453563913144,2.83842808034078,8295.349159564214,45,499
htail,2.0,case-c7c3ab88-cb2a-4568-953a-d1f74087f04d,7.88848971449013,2.84200758925403,-2.63888132520311,2.84200758925403,8295.349159564214,45,499
htail,4.0,case-e1fe6661-36a3-4adb-8b05-51e1f08d963e,7.91555418493498,2.84734580697878,-2.7217731378621,2.84734580697878,8295.349159564214,45,499
htail,6.0,case-3901f098-c34b-402d-98ed-54d02777bd3d,7.94473795951861,2.85424026679829,-2.81173285858211,2.85424026679829,8295.349159564214,45,499
htail,9.0,case-b4ea25cc-1504-40d0-a36c-d45508b84bb5,7.99195584474079,2.8672136227153,-2.95881801965271,2.8672136227153,8295.349159564214,45,499
thrust,6.0,case-96ca3665-c217-4a53-a336-ed2712a2010a,5.53119014259014,1.57534733214452,-1.21490933858479,1.57534733214452,3110.7559348365403,45,0
thrust,9.0,case-623c3792-c151-4afe-bf6d-d7dba406a531,6.31354762324605,1.9968561016043,-1.6031785986764,1.99685610160431,4666.133902254838,45,0
thrust,12.0,case-c40be1d2-2ce4-4a0d-85a5-9a156894a8c9,6.9943890472799,2.37526238629589,-1.97083586060052,2.37526238629589,6221.511869673135,45,499
thrust,14.0,case-f4fc5718-f724-4e35-b456-35977009772b,7.41685715631916,2.61299005280434,-2.21166015961323,2.61299005280434,7258.430514618677,45,499
thrust,16.0,case-f50417a9-fab5-4698-9501-defaf3dc046d,7.8223869545293,2.84268023963332,-2.45091963151128,2.84268023963332,8295.349159564214,45,499
thrust,18.0,case-d5a429d0-42ca-4900-be5f-bf43a7994726,8.21675824561889,3.06628836796941,-2.69124682749015,3.06628836796941,9332.267804509773,45,499
thrust,20.0,case-1a8b9776-d3e7-4bfd-bddd-21312c30a1d7,8.60315316666591,3.28480944236115,-2.93288746773421,3.28480944236115,10369.1864494553,45,499
thrust,22.0,case-bd92aedd-f3a0-433a-9418-d66fd736e4ab,8.9807779633004,3.49847111692688,-3.1726908616415,3.49847111692688,11406.105094400855,45,499
thrust,25.0,case-44923768-739c-4075-8ffb-4d47e797c0af,9.53501477365851,3.81161217603041,-3.52933772874638,3.81161217603041,12961.483061819139,45,499
thrust,30.0,case-134b5899-926f-4f1b-9e10-511a52efdd08,10.4632585207239,4.32462797940453,-4.03758835492091,4.32462797940454,15553.779674182973,45,499
