phase,alpha,T_mult,theta_ht,CL,CD,CT_del,V_m_s,V_kt,gamma_deg,F_thrust_N,T_over_L,V_b,alpha_b,theta_ht_b,T_b,note
takeoff,6.0,30.0,-0.23047452186465733,5.035118884554963,2.193760540146197,5.298937741582409,14.834624881890889,28.838695338046055,43.56708517364405,11173.901205222372,1.3958729885325152,18.0,8.0,-5.0,16.0,
takeoff,9.0,10.0,-5.7316274037153505,3.873675366483044,1.2477554700289784,1.7663125805274509,20.870516087098306,40.57254293759391,0.7011331452873921,3724.633735074084,0.3165916116940725,18.0,8.0,-5.0,16.0,
takeoff,9.0,20.0,-4.067607965395618,4.728278241604065,1.82495433695608,3.53262516105493,17.879931471400724,34.75880923678213,17.93046970488433,7449.267470148228,0.6779578804316998,18.0,8.0,-5.0,16.0,
takeoff,9.0,30.0,-2.403588527075886,5.582881116725085,2.4021532038831817,5.298937741582409,13.127900156087147,25.52080123656133,46.16260516225438,11173.901205222372,1.5536820105558797,18.0,8.0,-5.0,16.0,
takeoff,12.0,10.0,-7.904741408926579,4.421437598653167,1.4561481337659632,1.7663125805274509,19.364160112854897,37.64416818206629,0.44389340762718127,3724.633735074084,0.31871309853809043,18.0,8.0,-5.0,16.0,
takeoff,12.0,20.0,-6.240721970606847,5.276040473774187,2.0333470006930647,3.53262516105493,16.566003462043135,32.20451683911963,18.42211226962756,7449.267470148228,0.6938976554977613,18.0,8.0,-5.0,16.0,
takeoff,12.0,30.0,-4.576702532287115,6.130643348895207,2.6105458676201665,5.298937741582409,11.582365744826642,22.516263112026913,48.41614999898803,11173.901205222372,1.7695367023883668,18.0,8.0,-5.0,16.0,
landing,8.0,8.0,-0.40144323791137904,5.684440469193782,2.9333323924942643,2.767075102111379,17.12019460890026,33.28187132367858,-13.227524391655818,2978.337322957266,0.2572346715244979,12.86,8.0,-6.0,12.0,
landing,8.0,16.0,3.258376211231411,7.290614647267497,4.425933459966784,5.534150204222806,15.030680005742404,29.21982893806844,-3.0189220543585837,5956.674645914583,0.502569843535611,12.86,8.0,-6.0,12.0,
landing,8.0,24.0,6.9181956603742005,8.896788825341213,5.918534527439304,8.301225306334231,13.224897750533728,25.70936576697848,10.517395031673438,8935.011968871899,0.7808774131937516,12.86,8.0,-6.0,12.0,
landing,14.0,8.0,-3.05315686205012,6.198837367429,3.629436245613631,2.767075102111379,16.051042434671867,31.20342619492976,-16.0421207094621,2978.337322957266,0.2586128419338306,12.86,8.0,-6.0,12.0,
landing,14.0,16.0,0.6066625870926696,7.805011545502716,5.1220373130861505,5.534150204222806,14.095823959620637,27.4024571532283,-4.18446687258513,5956.674645914583,0.5037593887028319,12.86,8.0,-6.0,12.0,
landing,14.0,24.0,4.266482036235459,9.41118572357643,6.614638380558671,8.301225306334231,12.249154085449847,23.812507942165336,11.017870271746656,8935.011968871899,0.8012487564829524,12.86,8.0,-6.0,12.0,
landing,20.0,8.0,-5.704870486188861,6.7132342656642185,4.325540098732997,2.767075102111379,15.10179892051529,29.35808499322568,-18.250192426781652,2978.337322957266,0.2619616657097468,12.86,8.0,-6.0,12.0,
landing,20.0,16.0,-2.0450510370460715,8.319408443737935,5.818141166205517,5.534150204222806,13.232910924997412,25.72494347783323,-5.126341653957256,5956.674645914583,0.5118029912341304,12.86,8.0,-6.0,12.0,
landing,20.0,24.0,1.6147684120967192,9.92558262181165,7.310742233678037,8.301225306334231,11.320267468484275,22.006740801874564,11.464907005863514,8935.011968871899,0.8392624758683429,12.86,8.0,-6.0,12.0,
