phase,config,surface,CL,CD,CMy
cruise,v2_continuous,main_wing,0.929288724354001,0.0300804936245273,0.11554972316355
cruise,v2_continuous,htail,0.0004278315337286,0.0074512547433982,0.0285976313165491
cruise,v2_continuous,TOTAL,0.9297165558877296,0.0375317483679255,0.1441473544800991
cruise,v2_continuous_high,main_wing,0.927322791971192,0.0302825506140972,0.115341386622799
cruise,v2_continuous_high,htail,0.0196984517209531,0.0078211771877861,-0.0371592322261214
cruise,v2_continuous_high,TOTAL,0.9470212436921451,0.0381037278018833,0.0781821543966776
takeoff,v2_continuous,main_wing,5.08189822913805,0.646202671746168,0.5013900150203
takeoff,v2_continuous,htail,-0.516942212472836,-0.120347338161284,1.99497229374918
takeoff,v2_continuous,TOTAL,4.564956016665214,0.525855333584884,2.49636230876948
takeoff,v2_continuous_high,main_wing,4.65020385948281,0.500301670109636,0.470731978195269
takeoff,v2_continuous_high,htail,-0.418454361151377,-0.0703249253187544,1.5972510326311
takeoff,v2_continuous_high,TOTAL,4.231749498331433,0.4299767447908816,2.067983010826369
landing,v2_continuous,main_wing,8.5420690246397,0.999561534390147,0.750751864684192
landing,v2_continuous,htail,-0.475743438098346,-0.0994918339542954,1.85976736306876
landing,v2_continuous,TOTAL,8.066325586541353,0.9000697004358517,2.6105192277529516
landing,v2_continuous_high,main_wing,7.55382074340988,0.774945668690783,0.694868495941046
landing,v2_continuous_high,htail,-0.516065518030411,-0.109438592491724,1.94182757827768
landing,v2_continuous_high,TOTAL,7.0377552253794695,0.6655070761990589,2.636696074218726
